ohithi_key,othithi_varsham,othithi_masam,othithi_paksham,othithi_thithi,othithi_ruthu,othithi_start_date,othithi_end_date,othithi_date_advancement_by,othithi_start_hour,othithi_start_mins,othithi_end_hour,othithi_end_mins,othithi_duration_in_mins,othithi_first_derivative
PRA,VWV,PAU,SHU,PRA,HEM,20251220,20251221,0,1,43,3,41,1558,0
DWI,VWV,PAU,SHU,DWI,HEM,20251221,20251222,0,3,41,5,22,1541,0
TRU,VWV,PAU,SHU,TRU,HEM,20251222,20251223,0,5,22,6,43,1521,0
CHA,VWV,PAU,SHU,CHA,HEM,20251223,20251224,0,6,43,7,41,1498,0
PAN,VWV,PAU,SHU,PAN,HEM,20251224,20251225,0,7,41,8,13,1472,0
SHA,VWV,PAU,SHU,SHA,HEM,20251225,20251226,0,8,13,8,13,1440,0
SAP,VWV,PAU,SHU,SAP,HEM,20251226,20251227,0,8,13,7,40,1407,0
ASH,VWV,PAU,SHU,ASH,HEM,20251227,20251228,0,7,40,6,29,1369,0
NAV,VWV,PAU,SHU,NAV,HEM,20251228,20251229,0,6,29,4,42,1333,0
DAS,VWV,PAU,SHU,DAS,HEM,20251229,20251230,0,4,42,2,21,1299,0
EKA,VWV,PAU,SHU,EKA,HEM,20251230,20251230,0,2,21,23,30,1269,0
DWA,VWV,PAU,SHU,DWA,HEM,20251230,20251231,0,23,30,20,18,1248,0
TRY,VWV,PAU,SHU,TRY,HEM,20251231,20260101,0,20,18,16,52,1234,0
CHD,VWV,PAU,SHU,CHD,HEM,20260101,20260102,0,16,52,13,23,1231,0
POU,VWV,PAU,SHU,POU,HEM,20260102,20260103,0,13,23,10,2,1239,0
PRA,VWV,PAU,KRI,PRA,HEM,20260103,20260104,0,10,2,7,0,1258,0
DWI,VWV,PAU,KRI,DWI,HEM,20260104,20260105,0,7,0,4,27,1287,0
TRU,VWV,PAU,KRI,TRU,HEM,20260105,20260106,0,4,27,2,32,1325,0
CHA,VWV,PAU,KRI,CHA,HEM,20260106,20260107,0,2,32,1,23,1371,0
PAN,VWV,PAU,KRI,PAN,HEM,20260107,20260108,0,1,23,1,4,1421,0
SHA,VWV,PAU,KRI,SHA,HEM,20260108,20260109,0,1,4,1,35,1471,0
SAP,VWV,PAU,KRI,SAP,HEM,20260109,20260110,0,1,35,2,54,1519,0
ASH,VWV,PAU,KRI,ASH,HEM,20260110,20260111,0,2,54,4,50,1556,0
