oyogam_key,oyogam_varsham,oyogam_masam,oyogam_paksham,oyogam_yogam,oyogam_ruthu,oyogam_start_date,oyogam_end_date,oyogam_date_adv,oyogam_start_hour,oyogam_start_mins,oyogam_end_hour,oyogam_end_mins,oyogam_duration,oyogam_first_derivative
IND,,,,IND,,20251208,20251209,0,11,27,8,59,1292,0
VYD,,,,VYD,,20251209,20251210,0,8,59,7,12,1333,0
VIS,,,,VIS,,20251210,20251211,0,7,12,6,6,1374,0
PRE,,,,PRE,,20251211,20251212,0,6,6,5,37,1411,0
AYU,,,,AYU,,20251212,20251213,0,5,37,5,42,1445,0
SOW,,,,SOW,,20251213,20251214,0,5,42,6,11,1469,0
SHO,,,,SHO,,20251214,20251215,0,6,11,6,56,1485,0
ATH,,,,ATH,,20251215,20251216,0,6,56,7,48,1492,0
SUK,,,,SUK,,20251216,20251217,0,7,48,8,42,1494,0
DHU,,,,DHU,,20251217,20251218,0,8,42,9,31,1489,0
SHL,,,,SHL,,20251218,20251219,0,9,31,10,12,1481,0
GAN,,,,GAN,,20251219,20251220,0,10,12,10,43,1471,0
VRU,,,,VRU,,20251220,20251221,0,10,43,11,1,1458,0
DHR,,,,DHR,,20251221,20251222,0,11,1,11,6,1445,0
VYA,,,,VYA,,20251222,20251223,0,11,6,10,56,1430,0
HAR,,,,HAR,,20251223,20251224,0,10,56,10,28,1412,0
VAJ,,,,VAJ,,20251224,20251225,0,10,28,9,39,1391,0
SDH,,,,SDH,,20251225,20251226,0,9,39,8,27,1368,0
VYT,,,,VYT,,20251226,20251227,0,8,27,6,48,1341,0
VAR,,,,VAR,,20251227,20251228,0,6,48,4,40,1312,0
PAR,,,,PAR,,20251228,20251229,0,4,40,2,2,1282,0
SHI,,,,SHI,,20251229,20251229,0,2,2,22,58,1256,0
SID,,,,SID,,20251229,20251230,0,22,58,19,28,1230,0
SDY,,,,SDY,,20251230,20251231,0,19,28,15,40,1212,0
SHB,,,,SHB,,20251231,20260101,0,15,40,11,39,1199,0
SHK,,,,SHK,,20260101,20260102,0,11,39,7,33,1194,0
BRA,,,,BRA,,20260102,20260103,0,7,33,3,32,1199,0
IND,,,,IND,,20260103,20260103,0,3,32,23,42,1210,0
VYD,,,,VYD,,20260103,20260104,0,23,42,20,14,1232,0
VIS,,,,VIS,,20260104,20260105,0,20,14,17,14,1260,0
PRE,,,,PRE,,20260105,20260106,0,17,14,14,48,1294,0
AYU,,,,AYU,,20260106,20260107,0,14,48,13,0,1332,0
SOW,,,,SOW,,20260107,20260108,0,13,0,11,52,1372,0
SHO,,,,SHO,,20260108,20260109,0,11,52,11,22,1410,0
ATH,,,,ATH,,20260109,20260110,0,11,22,11,24,1442,0
SUK,,,,SUK,,20260110,20260111,0,11,24,11,53,1469,0
